id,tool,status,reason,cmd,expected_exit,actual_exit,expected_stdout,actual_stdout,stderr
182,icgrep,PASS,count mode,icgrep -colors=never -c -i '[^0-9]' data/many_match.txt,0,0,4\n,4\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\ufffd\rm\x01: No such file or directory\n"
183,icgrep,PASS,count mode,icgrep -colors=never -c -v '[^0-9]' data/many_match.txt,1,1,0\n,0\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\ufffd\ufffdm\x01: No such file or directory\n"
184,icgrep,PASS,count mode,icgrep -colors=never -c -v -i '[^0-9]' data/many_match.txt,1,1,0\n,0\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\x1d'o\x01: No such file or directory\n"
185,icgrep,PASS,normal mode,icgrep -colors=never '[^0-9]' data/unicode_content.txt,0,0,caf\xe9\nFOO\n\u5317\u4eac\nna\xefve\n,caf\xe9\nFOO\n\u5317\u4eac\nna\xefve\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""h\x1d\ufffdm\x01: No such file or directory\n"
186,icgrep,PASS,line-number mode,icgrep -colors=never -n '[^0-9]' data/unicode_content.txt,0,0,1:caf\xe9\n2:FOO\n3:\u5317\u4eac\n4:na\xefve\n,1:caf\xe9\n2:FOO\n3:\u5317\u4eac\n4:na\xefve\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H]\ufffdk\x01: No such file or directory\n"
187,icgrep,PASS,normal mode,icgrep -colors=never -i '[^0-9]' data/unicode_content.txt,0,0,caf\xe9\nFOO\n\u5317\u4eac\nna\xefve\n,caf\xe9\nFOO\n\u5317\u4eac\nna\xefve\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H]\ufffdm\x01: No such file or directory\n"
188,icgrep,PASS,line-number mode,icgrep -colors=never -i -n '[^0-9]' data/unicode_content.txt,0,0,1:caf\xe9\n2:FOO\n3:\u5317\u4eac\n4:na\xefve\n,1:caf\xe9\n2:FOO\n3:\u5317\u4eac\n4:na\xefve\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\ufffdQk\x01: No such file or directory\n"
189,icgrep,PASS,normal mode,icgrep -colors=never -v '[^0-9]' data/unicode_content.txt,0,0,123\n,123\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H]\ufffdk\x01: No such file or directory\n"
190,icgrep,PASS,line-number mode,icgrep -colors=never -v -n '[^0-9]' data/unicode_content.txt,0,0,5:123\n,5:123\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\ufffd%k\x01: No such file or directory\n"
191,icgrep,PASS,normal mode,icgrep -colors=never -v -i '[^0-9]' data/unicode_content.txt,0,0,123\n,123\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\ufffd6k\x01: No such file or directory\n"
192,icgrep,PASS,line-number mode,icgrep -colors=never -v -i -n '[^0-9]' data/unicode_content.txt,0,0,5:123\n,5:123\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\ufffd\ufffdk\x01: No such file or directory\n"
193,icgrep,PASS,count mode,icgrep -colors=never -c '[^0-9]' data/unicode_content.txt,0,0,4\n,4\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\ufffd\ufffdo\x01: No such file or directory\n"
194,icgrep,PASS,count mode,icgrep -colors=never -c -i '[^0-9]' data/unicode_content.txt,0,0,4\n,4\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\x1d\ufffdk\x01: No such file or directory\n"
195,icgrep,PASS,count mode,icgrep -colors=never -c -v '[^0-9]' data/unicode_content.txt,0,0,1\n,1\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\ufffd\ufffdo\x01: No such file or directory\n"
196,icgrep,PASS,count mode,icgrep -colors=never -c -v -i '[^0-9]' data/unicode_content.txt,0,0,1\n,1\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\ufffdmm\x01: No such file or directory\n"
197,icgrep,FAIL,missing input path should return error,icgrep -colors=never '[^0-9]' data/this_path_should_not_exist.txt,2,1,,"icgrep: ""/Users/arshmann/CMPT473/parabix-devel/project/data/this_path_should_not_exist.txt"": No such file.\n","failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\x1d\x01o\x01: No such file or directory\n"
198,icgrep,FAIL,missing input path should return error,icgrep -colors=never -i '[^0-9]' data/this_path_should_not_exist.txt,2,1,,"icgrep: ""/Users/arshmann/CMPT473/parabix-devel/project/data/this_path_should_not_exist.txt"": No such file.\n","failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\x1dGo\x01: No such file or directory\n"
199,icgrep,FAIL,missing input path should return error,icgrep -colors=never -v '[^0-9]' data/this_path_should_not_exist.txt,2,1,,"icgrep: ""/Users/arshmann/CMPT473/parabix-devel/project/data/this_path_should_not_exist.txt"": No such file.\n","failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\x1d\ufffdm\x01: No such file or directory\n"
200,icgrep,FAIL,missing input path should return error,icgrep -colors=never -v -i '[^0-9]' data/this_path_should_not_exist.txt,2,1,,"icgrep: ""/Users/arshmann/CMPT473/parabix-devel/project/data/this_path_should_not_exist.txt"": No such file.\n","failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H]Uo\x01: No such file or directory\n"
201,icgrep,FAIL,missing input path should return error,icgrep -colors=never -c '[^0-9]' data/this_path_should_not_exist.txt,2,1,,"icgrep: ""/Users/arshmann/CMPT473/parabix-devel/project/data/this_path_should_not_exist.txt"": No such file.\n","failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\ufffd\ufffdn\x01: No such file or directory\n"
202,icgrep,FAIL,missing input path should return error,icgrep -colors=never -c -i '[^0-9]' data/this_path_should_not_exist.txt,2,1,,"icgrep: ""/Users/arshmann/CMPT473/parabix-devel/project/data/this_path_should_not_exist.txt"": No such file.\n","failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\ufffd:m\x01: No such file or directory\n"
203,icgrep,FAIL,missing input path should return error,icgrep -colors=never -c -v '[^0-9]' data/this_path_should_not_exist.txt,2,1,,"icgrep: ""/Users/arshmann/CMPT473/parabix-devel/project/data/this_path_should_not_exist.txt"": No such file.\n","failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\ufffd\ufffdl\x01: No such file or directory\n"
204,icgrep,FAIL,missing input path should return error,icgrep -colors=never -c -v -i '[^0-9]' data/this_path_should_not_exist.txt,2,1,,"icgrep: ""/Users/arshmann/CMPT473/parabix-devel/project/data/this_path_should_not_exist.txt"": No such file.\n","failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""(\ufffd\ufffdm\x01: No such file or directory\n"
205,icgrep,PASS,normal mode,icgrep -colors=never '^foo' data/empty.txt,1,1,,,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""h]\ufffdo\x01: No such file or directory\n"
206,icgrep,PASS,line-number mode,icgrep -colors=never -n '^foo' data/empty.txt,1,1,,,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""h\ufffdUm\x01: No such file or directory\n"
207,icgrep,PASS,normal mode,icgrep -colors=never -i '^foo' data/empty.txt,1,1,,,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""h\x1d\ufffdm\x01: No such file or directory\n"
208,icgrep,PASS,line-number mode,icgrep -colors=never -i -n '^foo' data/empty.txt,1,1,,,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\x1dhk\x01: No such file or directory\n"
209,icgrep,PASS,normal mode,icgrep -colors=never -v '^foo' data/empty.txt,0,0,\n,\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""h]\ufffdm\x01: No such file or directory\n"
210,icgrep,PASS,line-number mode,icgrep -colors=never -v -n '^foo' data/empty.txt,0,0,1:\n,1:\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\x1dMk\x01: No such file or directory\n"
211,icgrep,PASS,normal mode,icgrep -colors=never -v -i '^foo' data/empty.txt,0,0,\n,\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\ufffdio\x01: No such file or directory\n"
212,icgrep,PASS,line-number mode,icgrep -colors=never -v -i -n '^foo' data/empty.txt,0,0,1:\n,1:\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\ufffd!m\x01: No such file or directory\n"
213,icgrep,PASS,count mode,icgrep -colors=never -c '^foo' data/empty.txt,1,1,0\n,0\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""h\x1d\x02o\x01: No such file or directory\n"
214,icgrep,PASS,count mode,icgrep -colors=never -c -i '^foo' data/empty.txt,1,1,0\n,0\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\x1d+o\x01: No such file or directory\n"
215,icgrep,PASS,count mode,icgrep -colors=never -c -v '^foo' data/empty.txt,0,0,1\n,1\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H]\ufffdk\x01: No such file or directory\n"
216,icgrep,PASS,count mode,icgrep -colors=never -c -v -i '^foo' data/empty.txt,0,0,1\n,1\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\ufffdPm\x01: No such file or directory\n"
217,icgrep,PASS,normal mode,icgrep -colors=never '^foo' data/no_match.txt,1,1,,,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""h\u0748k\x01: No such file or directory\n"
218,icgrep,PASS,line-number mode,icgrep -colors=never -n '^foo' data/no_match.txt,1,1,,,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""h\ufffd\tm\x01: No such file or directory\n"
219,icgrep,PASS,normal mode,icgrep -colors=never -i '^foo' data/no_match.txt,1,1,,,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""h\u0751o\x01: No such file or directory\n"
220,icgrep,PASS,line-number mode,icgrep -colors=never -i -n '^foo' data/no_match.txt,1,1,,,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\ufffd\ufffdm\x01: No such file or directory\n"
221,icgrep,PASS,normal mode,icgrep -colors=never -v '^foo' data/no_match.txt,0,0,zzz\nYYY\n123\n,zzz\nYYY\n123\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""h\u074co\x01: No such file or directory\n"
222,icgrep,PASS,line-number mode,icgrep -colors=never -v -n '^foo' data/no_match.txt,0,0,1:zzz\n2:YYY\n3:123\n,1:zzz\n2:YYY\n3:123\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\x1d1k\x01: No such file or directory\n"
223,icgrep,PASS,normal mode,icgrep -colors=never -v -i '^foo' data/no_match.txt,0,0,zzz\nYYY\n123\n,zzz\nYYY\n123\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\x1d\ufffdl\x01: No such file or directory\n"
224,icgrep,PASS,line-number mode,icgrep -colors=never -v -i -n '^foo' data/no_match.txt,0,0,1:zzz\n2:YYY\n3:123\n,1:zzz\n2:YYY\n3:123\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H]&m\x01: No such file or directory\n"
225,icgrep,PASS,count mode,icgrep -colors=never -c '^foo' data/no_match.txt,1,1,0\n,0\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""h\x1d\ufffdj\x01: No such file or directory\n"
226,icgrep,PASS,count mode,icgrep -colors=never -c -i '^foo' data/no_match.txt,1,1,0\n,0\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H]Wo\x01: No such file or directory\n"
227,icgrep,PASS,count mode,icgrep -colors=never -c -v '^foo' data/no_match.txt,0,0,3\n,3\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H]\ufffdo\x01: No such file or directory\n"
228,icgrep,PASS,count mode,icgrep -colors=never -c -v -i '^foo' data/no_match.txt,0,0,3\n,3\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\ufffd\ufffdk\x01: No such file or directory\n"
229,icgrep,PASS,normal mode,icgrep -colors=never '^foo' data/one_match.txt,0,0,foo\n,foo\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""h\ufffd\ufffdk\x01: No such file or directory\n"
230,icgrep,PASS,line-number mode,icgrep -colors=never -n '^foo' data/one_match.txt,0,0,1:foo\n,1:foo\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""h\x1d\x1am\x01: No such file or directory\n"
231,icgrep,PASS,normal mode,icgrep -colors=never -i '^foo' data/one_match.txt,0,0,foo\n,foo\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""h\ufffd*o\x01: No such file or directory\n"
232,icgrep,PASS,line-number mode,icgrep -colors=never -i -n '^foo' data/one_match.txt,0,0,1:foo\n,1:foo\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\ufffd\ufffdj\x01: No such file or directory\n"
233,icgrep,PASS,normal mode,icgrep -colors=never -v '^foo' data/one_match.txt,0,0,bar\nbaz\n,bar\nbaz\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""h]\ufffdn\x01: No such file or directory\n"
234,icgrep,PASS,line-number mode,icgrep -colors=never -v -n '^foo' data/one_match.txt,0,0,2:bar\n3:baz\n,2:bar\n3:baz\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\ufffd\ufffdo\x01: No such file or directory\n"
235,icgrep,PASS,normal mode,icgrep -colors=never -v -i '^foo' data/one_match.txt,0,0,bar\nbaz\n,bar\nbaz\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H]\ufffdk\x01: No such file or directory\n"
236,icgrep,PASS,line-number mode,icgrep -colors=never -v -i -n '^foo' data/one_match.txt,0,0,2:bar\n3:baz\n,2:bar\n3:baz\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\ufffd\ufffdk\x01: No such file or directory\n"
237,icgrep,PASS,count mode,icgrep -colors=never -c '^foo' data/one_match.txt,0,0,1\n,1\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""h\u074fm\x01: No such file or directory\n"
238,icgrep,PASS,count mode,icgrep -colors=never -c -i '^foo' data/one_match.txt,0,0,1\n,1\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\ufffd\ufffdm\x01: No such file or directory\n"
239,icgrep,PASS,count mode,icgrep -colors=never -c -v '^foo' data/one_match.txt,0,0,2\n,2\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H]\x17o\x01: No such file or directory\n"
240,icgrep,PASS,count mode,icgrep -colors=never -c -v -i '^foo' data/one_match.txt,0,0,2\n,2\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\ufffd\ufffdj\x01: No such file or directory\n"
241,icgrep,PASS,normal mode,icgrep -colors=never '^foo' data/many_match.txt,0,0,foo\nfoo\n,foo\nfoo\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""h\x1d\ufffdm\x01: No such file or directory\n"
242,icgrep,PASS,line-number mode,icgrep -colors=never -n '^foo' data/many_match.txt,0,0,1:foo\n4:foo\n,1:foo\n4:foo\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""h\x1dYk\x01: No such file or directory\n"
243,icgrep,PASS,normal mode,icgrep -colors=never -i '^foo' data/many_match.txt,0,0,foo\nFOO\nfoo\n,foo\nFOO\nfoo\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""h\ufffd>m\x01: No such file or directory\n"
244,icgrep,PASS,line-number mode,icgrep -colors=never -i -n '^foo' data/many_match.txt,0,0,1:foo\n3:FOO\n4:foo\n,1:foo\n3:FOO\n4:foo\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\ufffdmo\x01: No such file or directory\n"
245,icgrep,PASS,normal mode,icgrep -colors=never -v '^foo' data/many_match.txt,0,0,xfoo\nFOO\n,xfoo\nFOO\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""h]\ufffdk\x01: No such file or directory\n"
246,icgrep,PASS,line-number mode,icgrep -colors=never -v -n '^foo' data/many_match.txt,0,0,2:xfoo\n3:FOO\n,2:xfoo\n3:FOO\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\u075ck\x01: No such file or directory\n"
247,icgrep,PASS,normal mode,icgrep -colors=never -v -i '^foo' data/many_match.txt,0,0,xfoo\n,xfoo\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\x1dLk\x01: No such file or directory\n"
248,icgrep,PASS,line-number mode,icgrep -colors=never -v -i -n '^foo' data/many_match.txt,0,0,2:xfoo\n,2:xfoo\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\ufffd\x07o\x01: No such file or directory\n"
249,icgrep,PASS,count mode,icgrep -colors=never -c '^foo' data/many_match.txt,0,0,2\n,2\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""h\x1d\ufffdm\x01: No such file or directory\n"
250,icgrep,PASS,count mode,icgrep -colors=never -c -i '^foo' data/many_match.txt,0,0,3\n,3\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H]\ufffdj\x01: No such file or directory\n"
251,icgrep,PASS,count mode,icgrep -colors=never -c -v '^foo' data/many_match.txt,0,0,2\n,2\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\ufffd\ufffdm\x01: No such file or directory\n"
252,icgrep,PASS,count mode,icgrep -colors=never -c -v -i '^foo' data/many_match.txt,0,0,1\n,1\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\ufffd\ufffdj\x01: No such file or directory\n"
253,icgrep,PASS,normal mode,icgrep -colors=never '^foo' data/unicode_content.txt,1,1,,,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""h\x1d.k\x01: No such file or directory\n"
254,icgrep,PASS,line-number mode,icgrep -colors=never -n '^foo' data/unicode_content.txt,1,1,,,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\ufffd\ufffdn\x01: No such file or directory\n"
255,icgrep,PASS,normal mode,icgrep -colors=never -i '^foo' data/unicode_content.txt,0,0,FOO\n,FOO\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H]\x1am\x01: No such file or directory\n"
256,icgrep,PASS,line-number mode,icgrep -colors=never -i -n '^foo' data/unicode_content.txt,0,0,2:FOO\n,2:FOO\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\ufffd\ufffdk\x01: No such file or directory\n"
257,icgrep,PASS,normal mode,icgrep -colors=never -v '^foo' data/unicode_content.txt,0,0,caf\xe9\nFOO\n\u5317\u4eac\nna\xefve\n123\n,caf\xe9\nFOO\n\u5317\u4eac\nna\xefve\n123\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\x1d\ufffdo\x01: No such file or directory\n"
258,icgrep,PASS,line-number mode,icgrep -colors=never -v -n '^foo' data/unicode_content.txt,0,0,1:caf\xe9\n2:FOO\n3:\u5317\u4eac\n4:na\xefve\n5:123\n,1:caf\xe9\n2:FOO\n3:\u5317\u4eac\n4:na\xefve\n5:123\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H]\ufffdo\x01: No such file or directory\n"
259,icgrep,PASS,normal mode,icgrep -colors=never -v -i '^foo' data/unicode_content.txt,0,0,caf\xe9\n\u5317\u4eac\nna\xefve\n123\n,caf\xe9\n\u5317\u4eac\nna\xefve\n123\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H]\x0bk\x01: No such file or directory\n"
260,icgrep,PASS,line-number mode,icgrep -colors=never -v -i -n '^foo' data/unicode_content.txt,0,0,1:caf\xe9\n3:\u5317\u4eac\n4:na\xefve\n5:123\n,1:caf\xe9\n3:\u5317\u4eac\n4:na\xefve\n5:123\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H]Tm\x01: No such file or directory\n"
261,icgrep,PASS,count mode,icgrep -colors=never -c '^foo' data/unicode_content.txt,1,1,0\n,0\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\x1d\ufffdm\x01: No such file or directory\n"
262,icgrep,PASS,count mode,icgrep -colors=never -c -i '^foo' data/unicode_content.txt,0,0,1\n,1\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\ufffd\ufffdn\x01: No such file or directory\n"
263,icgrep,PASS,count mode,icgrep -colors=never -c -v '^foo' data/unicode_content.txt,0,0,5\n,5\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\ufffdno\x01: No such file or directory\n"
264,icgrep,PASS,count mode,icgrep -colors=never -c -v -i '^foo' data/unicode_content.txt,0,0,4\n,4\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\ufffd\ufffdj\x01: No such file or directory\n"
265,icgrep,FAIL,missing input path should return error,icgrep -colors=never '^foo' data/this_path_should_not_exist.txt,2,1,,"icgrep: ""/Users/arshmann/CMPT473/parabix-devel/project/data/this_path_should_not_exist.txt"": No such file.\n","failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\u076am\x01: No such file or directory\n"
266,icgrep,FAIL,missing input path should return error,icgrep -colors=never -i '^foo' data/this_path_should_not_exist.txt,2,1,,"icgrep: ""/Users/arshmann/CMPT473/parabix-devel/project/data/this_path_should_not_exist.txt"": No such file.\n","failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\ufffd`o\x01: No such file or directory\n"
267,icgrep,FAIL,missing input path should return error,icgrep -colors=never -v '^foo' data/this_path_should_not_exist.txt,2,1,,"icgrep: ""/Users/arshmann/CMPT473/parabix-devel/project/data/this_path_should_not_exist.txt"": No such file.\n","failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\ufffd\x01k\x01: No such file or directory\n"
268,icgrep,FAIL,missing input path should return error,icgrep -colors=never -v -i '^foo' data/this_path_should_not_exist.txt,2,1,,"icgrep: ""/Users/arshmann/CMPT473/parabix-devel/project/data/this_path_should_not_exist.txt"": No such file.\n","failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\u0748m\x01: No such file or directory\n"
269,icgrep,FAIL,missing input path should return error,icgrep -colors=never -c '^foo' data/this_path_should_not_exist.txt,2,1,,"icgrep: ""/Users/arshmann/CMPT473/parabix-devel/project/data/this_path_should_not_exist.txt"": No such file.\n","failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\ufffdxo\x01: No such file or directory\n"
270,icgrep,FAIL,missing input path should return error,icgrep -colors=never -c -i '^foo' data/this_path_should_not_exist.txt,2,1,,"icgrep: ""/Users/arshmann/CMPT473/parabix-devel/project/data/this_path_should_not_exist.txt"": No such file.\n","failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\ufffdzm\x01: No such file or directory\n"
271,icgrep,FAIL,missing input path should return error,icgrep -colors=never -c -v '^foo' data/this_path_should_not_exist.txt,2,1,,"icgrep: ""/Users/arshmann/CMPT473/parabix-devel/project/data/this_path_should_not_exist.txt"": No such file.\n","failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\ufffd\ufffdo\x01: No such file or directory\n"
272,icgrep,FAIL,missing input path should return error,icgrep -colors=never -c -v -i '^foo' data/this_path_should_not_exist.txt,2,1,,"icgrep: ""/Users/arshmann/CMPT473/parabix-devel/project/data/this_path_should_not_exist.txt"": No such file.\n","failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""(\ufffdtk\x01: No such file or directory\n"
273,icgrep,PASS,normal mode,icgrep -colors=never 'foo$' data/empty.txt,1,1,,,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""h]\ufffdk\x01: No such file or directory\n"
